lambda	Flux	e_Flux
0.1nm	10-2W/m2/nm	10-2W/m2/nm
---------	----------	----------
4750.2080	6.3709e-12	3.2867e-13
4751.4580	6.7698e-12	4.8562e-14
4752.7080	6.6549e-12	3.7833e-14
4753.9580	6.5211e-12	4.0644e-14
4755.2080	6.4076e-12	4.5271e-14
4756.4580	6.6345e-12	3.3287e-14
4757.7080	6.9128e-12	4.3503e-14
4758.9580	6.9158e-12	4.6650e-14
4760.2080	6.7152e-12	4.9136e-14
4761.4580	6.3570e-12	5.2390e-14
4762.7080	6.2423e-12	3.7189e-14
4763.9580	6.2719e-12	4.6433e-14
4765.2080	6.4300e-12	4.4369e-14
4766.4580	6.5798e-12	4.1407e-14
4767.7080	6.7116e-12	4.4860e-14
4768.9580	6.7468e-12	4.6678e-14
4770.2080	6.7151e-12	5.6927e-14
4771.4580	6.5831e-12	4.6656e-14
4772.7080	6.6126e-12	4.5060e-14
4773.9580	6.7343e-12	4.9129e-14
4775.2080	6.8003e-12	5.0504e-14
4776.4580	6.8359e-12	4.3883e-14
4777.7080	6.7889e-12	5.0068e-14
4778.9580	6.6323e-12	5.2158e-14
4780.2080	6.6757e-12	4.6921e-14
4781.4580	6.7143e-12	5.4517e-14
4782.7080	6.5798e-12	5.1853e-14
4783.9580	6.5690e-12	4.9967e-14
4785.2080	6.4118e-12	4.1333e-14
4786.4580	6.3393e-12	4.0864e-14
4787.7080	6.4814e-12	4.8410e-14
4788.9580	6.4959e-12	4.3545e-14
4790.2080	6.5676e-12	4.2389e-14
4791.4580	6.6378e-12	4.2824e-14
4792.7080	6.7447e-12	4.5767e-14
4793.9580	6.8290e-12	4.1175e-14
4795.2080	6.7975e-12	4.2210e-14
4796.4580	6.6957e-12	3.8500e-14
4797.7080	6.5577e-12	4.1815e-14
4798.9580	6.4711e-12	4.5358e-14
4800.2080	6.5226e-12	4.5465e-14
4801.4580	6.6184e-12	4.1917e-14
4802.7080	6.5469e-12	4.4638e-14
4803.9580	6.3094e-12	4.3490e-14
4805.2080	6.2732e-12	4.2787e-14
4806.4580	6.4065e-12	3.5966e-14
4807.7080	6.4227e-12	3.5436e-14
4808.9580	6.3073e-12	3.9806e-14
4810.2080	6.2008e-12	4.0506e-14
4811.4580	6.2642e-12	3.8919e-14
4812.7080	6.4205e-12	3.9026e-14
4813.9580	6.5453e-12	3.7919e-14
4815.2080	6.5726e-12	4.5381e-14
4816.4580	6.5513e-12	4.1351e-14
4817.7080	6.5548e-12	3.9631e-14
4818.9580	6.5527e-12	3.6693e-14
4820.2080	6.4821e-12	4.1651e-14
4821.4580	6.1991e-12	4.4391e-14
4822.7080	5.7168e-12	4.4163e-14
4823.9580	5.7299e-12	2.2691e-14
4825.2080	6.1546e-12	3.0036e-14
4826.4580	6.3083e-12	3.6688e-14
4827.7080	6.1876e-12	3.3893e-14
4828.9580	6.0952e-12	3.1880e-14
4830.2080	6.0807e-12	3.7454e-14
4831.4580	6.0590e-12	3.5015e-14
4832.7080	6.1042e-12	3.3885e-14
4833.9580	6.1039e-12	3.4562e-14
4835.2080	5.9696e-12	3.3881e-14
4836.4580	5.9343e-12	3.3150e-14
4837.7080	5.8970e-12	2.8582e-14
4838.9580	5.7686e-12	3.1270e-14
4840.2080	5.7765e-12	3.3534e-14
4841.4580	5.7795e-12	3.0131e-14
4842.7080	5.6895e-12	2.8936e-14
4843.9580	5.6650e-12	3.6312e-14
4845.2080	5.6006e-12	2.8366e-14
4846.4580	5.3042e-12	2.4512e-14
4847.7080	5.0182e-12	3.0969e-14
4848.9580	5.0413e-12	2.6239e-14
4850.2080	5.0723e-12	2.3744e-14
4851.4580	4.9034e-12	2.2868e-14
4852.7080	4.5757e-12	2.2221e-14
4853.9580	4.0881e-12	2.9516e-14
